Replace Part * Connector MD_POWER in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Connector MD_POWER from IVV_Connectors.IntLib
Replace Part C? Capacitor C0805_100n in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_100n from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_680n in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_680n from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_680n in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_680n from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_100n in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_100n from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_10u in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_10u from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_10u in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_10u from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_10n in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_10n from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_10u in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_10u from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_10u in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_10u from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_100n in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_100n from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_10u in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_10u from IVV_Passive.IntLib
Replace Part C? Capacitor ECAP SMD 470uF_16V in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor ECAP SMD 470uF_16V from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_4.7u in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_4.7u from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_100n in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_100n from IVV_Passive.IntLib
Replace Part C? Capacitor C0805_1u in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Capacitor C0805_1u from IVV_Passive.IntLib
Replace Part DA? IC LP2985-33DBVR in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with IC LP2985-33DBVR from IVV_IC.IntLib
Replace Part DA? IC LD1117S50 in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with IC LD1117S50 from IVV_IC.IntLib
Replace Part DA? IC LD1117S33 in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with IC LD1117S33 from IVV_IC.IntLib
Replace Part DA? IC LD1117STR in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with IC LD1117STR from IVV_IC.IntLib
Replace Part FU? Fuse MF-NSMF050-2 in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Fuse MF-NSMF050-2 from IVV_Lib.IntLib
Replace Part R? Resistor R0805_3.3k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_3.3k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_18k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_18k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_1k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_1k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_1k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_1k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_10k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_10k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_10k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_10k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_220k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_220k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_470k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_470k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_150_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_150_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_220k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_220k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_330k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_330k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_100k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_100k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_100k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_100k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_10k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_10k_5% from IVV_Passive.IntLib
Replace Part R? Resistor R0805_10k_5% in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Resistor R0805_10k_5% from IVV_Passive.IntLib
Replace Part SB? Button KLS7-TS6604-4.3-180 in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Button KLS7-TS6604-4.3-180 from IVV_Lib.IntLib
Replace Part SJ? SolderJump 1 in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with SolderJump 1 from IVV_Lib.IntLib
Replace Part VD? Diode BAT54WS in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Diode BAT54WS from IVV_Lib.IntLib
Replace Part VD? Diode 1N4148WS in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Diode 1N4148WS from IVV_Lib.IntLib
Replace Part VT? Transistor BC847B in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Transistor BC847B from IVV_Lib.IntLib
Replace Part VT? Transistor 2N7002 in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Transistor 2N7002 from IVV_Lib.IntLib
Replace Part VT? Transistor IRLML2502TRPBF in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Transistor IRLML2502TRPBF from IVV_Lib.IntLib
Replace Part VT? Transistor IRLML6402TRPBF in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Transistor IRLML6402TRPBF from IVV_Lib.IntLib
Replace Part VT? Transistor IRLML6402TRPBF in D:\AVRASM1234\!Electronics\!Projects\MDQARM_byAVRASM1234\PCBProject\MDQARM_POWER.SchDoc with Transistor IRLML6402TRPBF from IVV_Lib.IntLib
